ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc
96,"Belgium",3,1,"AlfaRomeo","alfa 164","alfa romeo","164","Italy","Italy","luxury",0,"Fiat",79,1995,106,1380,5,4,466.5,176,139,6.5,8.3,9.7,8.166667,210,9.9,1009000,1.234355,22323.51,453.2268,2226.258,45.19899,132.8326,124.5366,115.1654,101.3174,.0203027,.21,1.02e+07,8.31e+12,7.08e+12,1.84e+11,1.57e+11,18085.16,15419.35
97,"Belgium",3,1,"AlfaRomeo","alfa 164","alfa romeo","164","Italy","Italy","luxury",0,"Fiat",65,1995,106,1380,5,4,467,176,139,6.5,8.3,9.7,8.166667,210,9.9,1015000,1.192191,20524.29,431.0381,2354.781,49.4536,135.5465,126.1459,117.0396,105.1385,.0210014,.21,1.02e+07,8.68e+12,7.33e+12,1.75e+11,1.48e+11,17215.61,14554.04
85,"Belgium",6,3,"AlfaRomeo","alfa 90","alfa romeo","90","Italy","Italy","standard",0,"AlfaRomeo",421,1962,94,1080,5,4,439,164,142,6.5,8.8,12.2,9.166667,190,,592375,1.208178,10052.57,309.1691,1916.022,58.92774,75.89166,84.89509,90.08846,110.8499,.0307552,.25,9860000,4.83e+12,5.64e+12,8.20e+10,9.58e+10,8320.432,9715.203
86,"Belgium",6,3,"AlfaRomeo","alfa 90","alfa romeo","90","Italy","Italy","standard",0,"AlfaRomeo",270,1962,94,1080,5,4,439,164,142,6.5,8.8,12.2,9.166667,190,,655000,1.270094,12639.78,377.8947,1733.287,51.82051,80.30833,85.04787,91.25555,98.11595,.0298972,.25,9860000,5.08e+12,5.73e+12,9.81e+10,1.11e+11,9951.85,11212.44
87,"Belgium",6,3,"AlfaRomeo","alfa 90","alfa romeo","90","Italy","Italy","standard",0,"Fiat",159,2492,115,1080,5,4,439,164,142,7,9.1,13,9.7,200,8.4,779000,1.445603,16190.17,464.6917,1676.38,48.11562,84.11667,87.59422,92.6741,93.25135,.0287021,.25,9870000,5.32e+12,5.86e+12,1.11e+11,1.22e+11,11199.59,12348.46
73,"Belgium",7,3,"AlfaRomeo","alfetta (GTV)","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",414,1749,89.5,1060,5,4,428,162,143,11.5,11.5,11.5,11.5,180,,222375,1.215246,4777.118,315.2988,705.2834,46.55003,13.09167,,37.07739,,.0660019,.25,9740000,1.78e+12,4.56e+12,3.83e+10,9.80e+10,3930.989,10057.69
74,"Belgium",7,3,"AlfaRomeo","alfetta (GTV)","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",371,1749,90,1060,5,4,428,162,143,11.5,11.5,11.5,11.5,180,,239875,1.120847,5224.856,308.4141,777.7693,45.91035,15.59167,,41.77802,,.0590282,.25,9770000,2.09e+12,4.75e+12,4.55e+10,1.04e+11,4661.525,10599.39
75,"Belgium",7,3,"AlfaRomeo","alfetta (GTV)","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",1116,1749,90,1040,5,4,424,166.5,133,9.2,9.2,9.2,9.2,175,,242500,1.026361,5399.023,306.1576,792.0758,44.91553,18.225,,47.11232,,.0567061,.25,9790000,2.31e+12,4.68e+12,5.15e+10,1.04e+11,5260.356,10648.32
76,"Belgium",7,3,"AlfaRomeo","alfetta (GTV)","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",1296,1749,90,1040,5,4,424,166.5,133,9.2,9.2,9.2,9.2,175,,275975,1.028302,6273.025,279.7401,986.5405,43.99392,21.29167,,51.4294,,.0445941,.25,9810000,2.63e+12,4.95e+12,5.98e+10,1.12e+11,6100.37,11465.54
77,"Belgium",7,3,"AlfaRomeo","alfetta (GTV)","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",1894,1779,87,1060,5,4,428,162,143,6.5,10,13.5,10,180,,301750,1.040883,7269.177,291.1733,1036.324,41.51089,25.19167,,55.08411,,.0400559,.25,9820000,2.85e+12,4.98e+12,6.86e+10,1.20e+11,6983.666,12209.1
78,"Belgium",7,3,"AlfaRomeo","alfetta (GTV)","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",1399,1570,80,1040,5,4,424,162,143,9.2,9.2,9.2,9.2,175,,283750,.9122392,7269.47,267.0932,1062.363,39.03311,28.23333,,57.54669,,.0367418,.25,9830000,3.06e+12,5.12e+12,7.83e+10,1.31e+11,7968.82,13340.87
79,"Belgium",7,3,"AlfaRomeo","alfetta (GTV)","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",920,1962,90,1080,4,3,421,166,133,6.9,9.6,13.4,9.966667,185,,397375,1.197712,10572.85,372.0799,1067.983,37.58446,32.425,,60.1185,,.035192,.25,9840000,3.26e+12,5.23e+12,8.69e+10,1.39e+11,8827.543,14140.05
80,"Belgium",7,3,"AlfaRomeo","alfetta GTV","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",762,1962,90,1140,4,3,438.5,164,143,6.9,9.6,13.4,9.966667,185,,409250,1.148989,10593.23,359.5651,1138.181,38.63315,39.29167,,64.11697,72.71461,.0339429,.25,9850000,3.51e+12,5.45e+12,9.08e+10,1.41e+11,9219.613,14312.16
81,"Belgium",7,3,"AlfaRomeo","alfetta GTV","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",844,1962,96,1140,4,3,438.5,164,143,6.9,9.5,13.9,10.1,185,,437500,1.178971,9960.578,323.901,1350.721,43.92315,46.96667,56.90569,69.00799,82.94663,.0325183,.25,9850000,3.66e+12,5.38e+12,8.32e+10,1.22e+11,8448.534,12431.26
82,"Belgium",7,3,"AlfaRomeo","alfetta GTV","alfa romeo","GTV","Italy","Italy","standard",0,"AlfaRomeo",1113,1570,80,1120,4,3,438.5,164,143,6.8,9,11.9,9.233334,174,,373750,.9312817,7246.842,248.3797,1504.753,51.57419,54.7,64.38174,75.02952,94.11159,.0342742,.25,9860000,3.96e+12,5.45e+12,7.67e+10,1.06e+11,7781.578,10725.6
